District,Season,Rainfall,Temperature,LandType,Irrigation,SoilType,Recommended_Crop
Alappuzha,Summer,Medium,Moderate,Coastal,No,Sandy,Cashew
Thiruvananthapuram,Summer,Low,Moderate,Coastal,No,Clay,Coconut
Kannur,Kharif,Medium,Moderate,Upland,No,Laterite,Banana
Pathanamthitta,Rabi,Medium,Hot,Lowland,Yes,Loam,Banana
Kozhikode,Summer,High,Moderate,Hill,Yes,Clay,Pepper
Thiruvananthapuram,Summer,High,Moderate,Hill,No,Loam,Pepper
Thiruvananthapuram,Kharif,High,Hot,Lowland,Yes,Sandy,Rice
Kollam,Summer,Low,Moderate,Coastal,No,Sandy,Cashew
Thiruvananthapuram,Summer,Low,Cool,Coastal,Yes,Laterite,Arecanut
Ernakulam,Summer,Low,Cool,Lowland,Yes,Clay,Banana
Kasaragod,Summer,Medium,Cool,Upland,No,Clay,Banana
Malappuram,Summer,High,Moderate,Upland,Yes,Laterite,Ginger
Thrissur,Summer,Low,Cool,Coastal,No,Laterite,Arecanut
Kasaragod,Rabi,Medium,Hot,Upland,Yes,Loam,Rubber
Kannur,Summer,Medium,Cool,Upland,Yes,Sandy,Banana
Malappuram,Kharif,High,Cool,Lowland,No,Loam,Banana
Pathanamthitta,Kharif,High,Moderate,Lowland,No,Clay,Banana
Pathanamthitta,Summer,High,Moderate,Hill,No,Clay,Pepper
Ernakulam,Kharif,Medium,Hot,Hill,Yes,Sandy,Pepper
Kozhikode,Summer,Medium,Hot,Coastal,No,Clay,Coconut
Idukki,Rabi,Medium,Cool,Coastal,No,Clay,Coconut
Kannur,Summer,Medium,Hot,Hill,Yes,Clay,Pepper
Pathanamthitta,Summer,Low,Cool,Hill,No,Loam,Pepper
Palakkad,Rabi,Medium,Hot,Lowland,Yes,Loam,Banana
Malappuram,Kharif,High,Hot,Coastal,No,Loam,Coconut
Thrissur,Summer,Low,Moderate,Hill,Yes,Sandy,Pepper
Idukki,Rabi,Low,Moderate,Hill,No,Laterite,Pepper
Wayanad,Rabi,Medium,Moderate,Hill,Yes,Sandy,Pepper
Kollam,Kharif,Low,Hot,Hill,No,Clay,Pepper
Thrissur,Kharif,Low,Moderate,Coastal,No,Laterite,Cashew
Kottayam,Rabi,High,Hot,Lowland,Yes,Loam,Rice
Malappuram,Kharif,Low,Moderate,Lowland,No,Loam,Banana
Ernakulam,Kharif,High,Cool,Hill,No,Loam,Cardamom
Ernakulam,Kharif,Low,Cool,Hill,No,Sandy,Pepper
Pathanamthitta,Rabi,High,Cool,Lowland,No,Loam,Banana
Kollam,Rabi,Low,Hot,Coastal,No,Sandy,Arecanut
Kasaragod,Summer,High,Moderate,Coastal,No,Clay,Coconut
Kannur,Rabi,Low,Cool,Upland,No,Clay,Tapioca
Alappuzha,Rabi,Medium,Hot,Lowland,Yes,Laterite,Banana
Kottayam,Summer,Low,Moderate,Coastal,Yes,Loam,Coconut
Kannur,Rabi,High,Moderate,Hill,Yes,Laterite,Pepper
Palakkad,Summer,High,Cool,Hill,Yes,Sandy,Coffee
Alappuzha,Rabi,High,Moderate,Hill,Yes,Laterite,Pepper
Idukki,Rabi,Medium,Cool,Upland,Yes,Loam,Rubber
Kasaragod,Summer,Medium,Cool,Lowland,No,Sandy,Banana
Alappuzha,Kharif,High,Moderate,Coastal,No,Loam,Coconut
Kozhikode,Summer,Low,Moderate,Coastal,No,Clay,Coconut
Wayanad,Summer,High,Hot,Lowland,Yes,Laterite,Rice
Ernakulam,Kharif,Medium,Hot,Hill,Yes,Loam,Pepper
Idukki,Summer,Medium,Hot,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Low,Hot,Upland,Yes,Loam,Tapioca
Palakkad,Kharif,Low,Moderate,Lowland,No,Loam,Banana
Kozhikode,Summer,High,Moderate,Hill,No,Laterite,Pepper
Kozhikode,Kharif,Medium,Hot,Hill,Yes,Loam,Pepper
Idukki,Kharif,Medium,Cool,Upland,No,Loam,Banana
Ernakulam,Rabi,Low,Hot,Coastal,Yes,Clay,Coconut
Thrissur,Summer,High,Moderate,Coastal,No,Clay,Coconut
Pathanamthitta,Rabi,High,Moderate,Lowland,No,Laterite,Banana
Kasaragod,Kharif,Medium,Cool,Lowland,No,Loam,Banana
Ernakulam,Rabi,High,Cool,Upland,No,Loam,Ginger
Pathanamthitta,Summer,Medium,Hot,Hill,Yes,Loam,Pepper
Wayanad,Rabi,Low,Hot,Upland,Yes,Clay,Ginger
Idukki,Kharif,High,Cool,Lowland,No,Loam,Banana
Palakkad,Kharif,Medium,Hot,Upland,Yes,Sandy,Rubber
Alappuzha,Summer,Medium,Cool,Coastal,No,Clay,Coconut
Thiruvananthapuram,Kharif,Medium,Cool,Upland,No,Clay,Rubber
Kannur,Rabi,Medium,Moderate,Hill,Yes,Loam,Pepper
Idukki,Kharif,Low,Moderate,Hill,Yes,Loam,Pepper
Kollam,Rabi,Medium,Cool,Hill,Yes,Loam,Pepper
Thiruvananthapuram,Rabi,Medium,Cool,Hill,No,Clay,Pepper
Malappuram,Summer,High,Hot,Hill,No,Sandy,Pepper
Thrissur,Kharif,Low,Hot,Lowland,No,Laterite,Banana
Wayanad,Summer,High,Moderate,Hill,Yes,Sandy,Pepper
Palakkad,Kharif,Medium,Moderate,Lowland,Yes,Laterite,Banana
Ernakulam,Rabi,High,Hot,Upland,No,Sandy,Ginger
Palakkad,Rabi,High,Hot,Lowland,Yes,Laterite,Rice
Kasaragod,Summer,Low,Cool,Upland,No,Clay,Ginger
Kottayam,Rabi,High,Moderate,Coastal,Yes,Clay,Coconut
Wayanad,Kharif,High,Moderate,Upland,No,Clay,Tapioca
Kannur,Rabi,High,Hot,Lowland,No,Clay,Banana
Alappuzha,Rabi,Low,Moderate,Coastal,Yes,Sandy,Arecanut
Wayanad,Kharif,Low,Hot,Hill,No,Sandy,Pepper
Kollam,Kharif,Medium,Cool,Lowland,No,Sandy,Banana
Thrissur,Rabi,High,Cool,Upland,Yes,Clay,Ginger
Malappuram,Rabi,Medium,Cool,Lowland,No,Clay,Banana
Kasaragod,Summer,Low,Cool,Hill,Yes,Loam,Pepper
Thiruvananthapuram,Rabi,Low,Moderate,Coastal,Yes,Loam,Coconut
Idukki,Kharif,High,Hot,Lowland,Yes,Clay,Rice
Kasaragod,Summer,Low,Hot,Upland,No,Loam,Ginger
Malappuram,Summer,Medium,Cool,Upland,Yes,Clay,Banana
Wayanad,Rabi,Medium,Cool,Hill,No,Clay,Pepper
Palakkad,Rabi,Low,Moderate,Coastal,Yes,Clay,Coconut
Thiruvananthapuram,Summer,Medium,Hot,Hill,No,Clay,Pepper
Kozhikode,Rabi,High,Moderate,Upland,Yes,Sandy,Tapioca
Thiruvananthapuram,Summer,Medium,Cool,Upland,No,Laterite,Rubber
Kozhikode,Rabi,Low,Moderate,Lowland,No,Laterite,Banana
Idukki,Rabi,Low,Hot,Coastal,Yes,Laterite,Cashew
Kannur,Summer,High,Moderate,Hill,Yes,Clay,Pepper
Ernakulam,Summer,High,Hot,Hill,No,Clay,Pepper
Thrissur,Summer,Low,Cool,Upland,Yes,Clay,Tapioca
Palakkad,Kharif,Medium,Hot,Lowland,No,Clay,Banana
Kasaragod,Summer,Low,Moderate,Upland,No,Sandy,Tapioca
Thiruvananthapuram,Rabi,Medium,Moderate,Upland,No,Loam,Banana
Wayanad,Summer,Low,Cool,Upland,Yes,Laterite,Ginger
Malappuram,Kharif,Low,Hot,Hill,No,Loam,Pepper
Ernakulam,Summer,Medium,Hot,Coastal,No,Laterite,Cashew
Kasaragod,Rabi,Low,Hot,Upland,Yes,Clay,Tapioca
Kollam,Kharif,Low,Cool,Lowland,No,Sandy,Banana
Pathanamthitta,Kharif,High,Hot,Lowland,No,Sandy,Banana
Kollam,Kharif,High,Cool,Upland,No,Laterite,Tapioca
Kollam,Summer,Medium,Cool,Coastal,No,Loam,Coconut
Pathanamthitta,Summer,Low,Moderate,Hill,No,Laterite,Pepper
Wayanad,Rabi,Medium,Cool,Hill,No,Sandy,Pepper
Kottayam,Rabi,Medium,Cool,Lowland,No,Sandy,Banana
Kozhikode,Kharif,Medium,Moderate,Coastal,No,Clay,Coconut
Kasaragod,Rabi,Low,Cool,Lowland,Yes,Laterite,Banana
Kollam,Rabi,Medium,Cool,Upland,No,Sandy,Banana
Palakkad,Kharif,Low,Hot,Hill,No,Laterite,Pepper
Ernakulam,Rabi,Medium,Moderate,Coastal,No,Sandy,Arecanut
Alappuzha,Kharif,High,Hot,Hill,No,Laterite,Pepper
Kottayam,Kharif,Medium,Hot,Hill,No,Sandy,Pepper
Kollam,Rabi,Low,Moderate,Coastal,No,Clay,Coconut
Thrissur,Kharif,Medium,Moderate,Lowland,Yes,Loam,Banana
Thiruvananthapuram,Rabi,High,Moderate,Upland,Yes,Loam,Ginger
Ernakulam,Rabi,Medium,Cool,Hill,Yes,Sandy,Pepper
Alappuzha,Rabi,Medium,Moderate,Coastal,Yes,Loam,Coconut
Palakkad,Kharif,Medium,Hot,Lowland,Yes,Clay,Banana
Kollam,Summer,Low,Hot,Lowland,Yes,Laterite,Banana
Kannur,Summer,Medium,Hot,Coastal,No,Sandy,Cashew
Ernakulam,Summer,Low,Hot,Coastal,Yes,Sandy,Arecanut
Kollam,Summer,Low,Hot,Lowland,Yes,Clay,Banana
Thrissur,Summer,High,Moderate,Hill,Yes,Sandy,Pepper
Thrissur,Rabi,Low,Cool,Lowland,No,Laterite,Banana
Idukki,Summer,Low,Hot,Upland,Yes,Clay,Ginger
Kasaragod,Kharif,Medium,Cool,Hill,Yes,Loam,Pepper
Alappuzha,Kharif,Low,Hot,Upland,No,Clay,Tapioca
Kozhikode,Rabi,Low,Moderate,Lowland,No,Laterite,Banana
Pathanamthitta,Rabi,High,Cool,Coastal,No,Laterite,Arecanut
Thrissur,Rabi,High,Hot,Lowland,Yes,Loam,Rice
Thrissur,Kharif,Low,Hot,Lowland,No,Laterite,Banana
Idukki,Rabi,Medium,Cool,Hill,No,Laterite,Pepper
Palakkad,Kharif,Medium,Hot,Lowland,No,Laterite,Banana
Palakkad,Rabi,High,Cool,Lowland,Yes,Sandy,Rice
Wayanad,Rabi,Medium,Cool,Lowland,Yes,Sandy,Banana
Kasaragod,Rabi,Medium,Cool,Hill,No,Loam,Pepper
Kasaragod,Kharif,Low,Hot,Upland,No,Loam,Ginger
Kozhikode,Rabi,Low,Moderate,Upland,Yes,Laterite,Ginger
Kottayam,Rabi,Low,Cool,Lowland,No,Laterite,Banana
Kasaragod,Summer,Medium,Moderate,Lowland,No,Clay,Banana
Kollam,Kharif,Low,Moderate,Upland,No,Laterite,Ginger
Idukki,Summer,Medium,Moderate,Lowland,Yes,Sandy,Banana
Idukki,Kharif,Medium,Moderate,Lowland,No,Sandy,Banana
Kollam,Kharif,High,Cool,Upland,No,Sandy,Tapioca
Kannur,Kharif,Low,Cool,Coastal,Yes,Sandy,Arecanut
Ernakulam,Kharif,High,Hot,Upland,Yes,Loam,Ginger
Kozhikode,Summer,Medium,Cool,Coastal,Yes,Laterite,Cashew
Pathanamthitta,Summer,High,Moderate,Coastal,Yes,Loam,Coconut
Palakkad,Summer,High,Cool,Lowland,Yes,Clay,Rice
Idukki,Kharif,Medium,Moderate,Lowland,Yes,Clay,Banana
Malappuram,Summer,High,Moderate,Hill,Yes,Sandy,Pepper
Kannur,Summer,High,Hot,Coastal,Yes,Loam,Coconut
Kasaragod,Kharif,Low,Moderate,Lowland,Yes,Sandy,Banana
Kottayam,Rabi,High,Hot,Coastal,No,Laterite,Cashew
Kasaragod,Summer,Low,Cool,Coastal,Yes,Laterite,Cashew
Malappuram,Rabi,Low,Hot,Lowland,No,Loam,Banana
Ernakulam,Kharif,High,Hot,Upland,Yes,Sandy,Ginger
Wayanad,Rabi,Low,Moderate,Upland,Yes,Laterite,Tapioca
Kollam,Kharif,High,Hot,Upland,Yes,Laterite,Tapioca
Wayanad,Summer,Low,Moderate,Hill,Yes,Loam,Pepper
Thrissur,Kharif,Medium,Cool,Lowland,No,Loam,Banana
Malappuram,Summer,High,Cool,Upland,Yes,Laterite,Tapioca
Kannur,Summer,Medium,Cool,Coastal,Yes,Loam,Coconut
Idukki,Summer,Medium,Cool,Hill,No,Loam,Pepper
Kasaragod,Summer,High,Hot,Lowland,No,Sandy,Banana
Palakkad,Kharif,Low,Moderate,Coastal,Yes,Clay,Coconut
Thrissur,Summer,High,Hot,Upland,Yes,Sandy,Ginger
Idukki,Rabi,High,Hot,Coastal,No,Laterite,Arecanut
Kollam,Rabi,Medium,Cool,Hill,Yes,Laterite,Pepper
Kannur,Kharif,Medium,Hot,Hill,Yes,Laterite,Pepper
Malappuram,Rabi,High,Moderate,Coastal,Yes,Sandy,Arecanut
Thrissur,Rabi,Medium,Hot,Hill,Yes,Laterite,Pepper
Kollam,Kharif,High,Hot,Upland,Yes,Clay,Ginger
Kannur,Rabi,Low,Cool,Lowland,No,Laterite,Banana
Kannur,Rabi,Low,Cool,Upland,No,Sandy,Tapioca
Malappuram,Summer,Medium,Cool,Hill,No,Sandy,Pepper
Idukki,Kharif,Low,Hot,Hill,Yes,Laterite,Pepper
Kozhikode,Kharif,Low,Hot,Upland,Yes,Sandy,Tapioca
Palakkad,Summer,Medium,Moderate,Hill,Yes,Sandy,Pepper
Alappuzha,Kharif,High,Cool,Upland,No,Loam,Tapioca
Palakkad,Kharif,Medium,Cool,Upland,No,Clay,Banana
Kozhikode,Summer,High,Hot,Upland,Yes,Loam,Tapioca
Kozhikode,Summer,Low,Hot,Hill,No,Loam,Pepper
Malappuram,Summer,Low,Hot,Lowland,Yes,Sandy,Banana
Kollam,Rabi,High,Hot,Upland,No,Sandy,Ginger
Thrissur,Rabi,High,Hot,Hill,Yes,Clay,Pepper
Pathanamthitta,Kharif,High,Cool,Coastal,No,Clay,Coconut
Thrissur,Summer,Medium,Cool,Upland,No,Sandy,Banana
Palakkad,Summer,Medium,Moderate,Coastal,No,Laterite,Cashew
Ernakulam,Summer,Low,Hot,Lowland,Yes,Loam,Banana
Thiruvananthapuram,Summer,Medium,Cool,Hill,No,Loam,Pepper
Malappuram,Summer,Low,Cool,Upland,No,Loam,Ginger
Kasaragod,Rabi,Medium,Hot,Upland,No,Laterite,Rubber
Malappuram,Rabi,Medium,Hot,Lowland,No,Sandy,Banana
Ernakulam,Rabi,High,Moderate,Upland,No,Clay,Ginger
Palakkad,Kharif,Low,Cool,Upland,No,Sandy,Tapioca
Palakkad,Kharif,Medium,Cool,Lowland,Yes,Loam,Banana
Ernakulam,Rabi,Medium,Hot,Hill,No,Loam,Pepper
Idukki,Rabi,High,Cool,Lowland,Yes,Sandy,Rice
Kozhikode,Rabi,Medium,Hot,Hill,No,Laterite,Pepper
Ernakulam,Kharif,High,Moderate,Upland,Yes,Clay,Tapioca
Thrissur,Kharif,Low,Hot,Lowland,Yes,Loam,Banana
Kannur,Summer,Low,Hot,Upland,No,Clay,Tapioca
Thrissur,Kharif,High,Moderate,Hill,No,Laterite,Pepper
Wayanad,Rabi,Medium,Hot,Hill,No,Loam,Pepper
Palakkad,Kharif,High,Cool,Hill,Yes,Laterite,Cardamom
Thiruvananthapuram,Kharif,Low,Moderate,Upland,No,Sandy,Ginger
Idukki,Rabi,Medium,Hot,Hill,No,Clay,Pepper
Palakkad,Rabi,Medium,Cool,Hill,No,Clay,Pepper
Ernakulam,Summer,Low,Cool,Coastal,No,Clay,Coconut
Kottayam,Rabi,Medium,Hot,Hill,Yes,Loam,Pepper
Palakkad,Rabi,High,Cool,Lowland,No,Sandy,Banana
Kottayam,Kharif,Low,Hot,Hill,Yes,Laterite,Pepper
Kollam,Kharif,Medium,Hot,Hill,No,Laterite,Pepper
Thrissur,Summer,High,Cool,Hill,No,Loam,Coffee
Alappuzha,Kharif,Low,Cool,Upland,Yes,Sandy,Ginger
Malappuram,Rabi,Low,Cool,Upland,No,Laterite,Ginger
Kozhikode,Summer,High,Cool,Hill,Yes,Clay,Tea
Palakkad,Kharif,Medium,Hot,Hill,No,Sandy,Pepper
Kasaragod,Rabi,Medium,Hot,Lowland,No,Loam,Banana
Kollam,Rabi,Medium,Hot,Lowland,No,Laterite,Banana
Thrissur,Summer,Medium,Hot,Coastal,No,Loam,Coconut
Kozhikode,Kharif,Medium,Hot,Upland,Yes,Sandy,Rubber
Ernakulam,Kharif,High,Cool,Coastal,Yes,Clay,Coconut
Kasaragod,Rabi,Medium,Hot,Upland,No,Laterite,Banana
Kottayam,Summer,High,Hot,Lowland,Yes,Loam,Rice
Ernakulam,Kharif,Medium,Hot,Upland,No,Loam,Rubber
Kottayam,Kharif,Medium,Cool,Upland,Yes,Sandy,Banana
Idukki,Kharif,High,Moderate,Upland,Yes,Clay,Ginger
Thrissur,Rabi,Low,Cool,Upland,No,Sandy,Ginger
Ernakulam,Kharif,High,Moderate,Hill,No,Laterite,Pepper
Malappuram,Summer,Medium,Hot,Hill,Yes,Sandy,Pepper
Kozhikode,Rabi,High,Hot,Hill,No,Laterite,Pepper
Kasaragod,Summer,High,Hot,Upland,Yes,Laterite,Tapioca
Palakkad,Rabi,Low,Cool,Coastal,No,Loam,Coconut
Pathanamthitta,Rabi,Low,Cool,Hill,Yes,Loam,Pepper
Thrissur,Kharif,Medium,Hot,Lowland,No,Loam,Banana
Alappuzha,Rabi,Low,Cool,Upland,No,Loam,Tapioca
Malappuram,Kharif,Low,Moderate,Coastal,Yes,Loam,Coconut
Palakkad,Kharif,Medium,Moderate,Upland,Yes,Sandy,Banana
Kasaragod,Summer,Medium,Hot,Hill,Yes,Sandy,Pepper
Ernakulam,Rabi,High,Hot,Upland,Yes,Sandy,Tapioca
Kannur,Summer,High,Moderate,Upland,No,Laterite,Tapioca
Ernakulam,Rabi,High,Cool,Lowland,No,Clay,Banana
Idukki,Summer,Medium,Cool,Hill,No,Clay,Pepper
Alappuzha,Rabi,Medium,Hot,Hill,Yes,Laterite,Pepper
Thrissur,Kharif,Medium,Cool,Coastal,No,Clay,Coconut
Alappuzha,Rabi,High,Moderate,Upland,Yes,Sandy,Tapioca
Idukki,Kharif,Medium,Cool,Lowland,Yes,Clay,Banana
Kozhikode,Summer,Medium,Hot,Lowland,No,Clay,Banana
Ernakulam,Rabi,Low,Hot,Upland,No,Loam,Ginger
Wayanad,Rabi,Low,Moderate,Lowland,No,Clay,Banana
Malappuram,Kharif,Low,Cool,Upland,No,Sandy,Ginger
Pathanamthitta,Kharif,Low,Hot,Hill,Yes,Laterite,Pepper
Idukki,Rabi,High,Hot,Hill,No,Loam,Pepper
Thrissur,Rabi,Low,Cool,Coastal,Yes,Sandy,Cashew
Ernakulam,Rabi,High,Moderate,Hill,No,Laterite,Pepper
Pathanamthitta,Kharif,Medium,Moderate,Hill,No,Laterite,Pepper
Kottayam,Kharif,Medium,Cool,Coastal,Yes,Loam,Coconut
Ernakulam,Summer,High,Hot,Lowland,No,Loam,Banana
Malappuram,Rabi,Low,Cool,Lowland,No,Clay,Banana
Palakkad,Summer,Low,Hot,Upland,Yes,Clay,Tapioca
Kasaragod,Kharif,Medium,Moderate,Lowland,Yes,Sandy,Banana
Kollam,Rabi,Medium,Cool,Upland,Yes,Clay,Rubber
Thiruvananthapuram,Rabi,High,Cool,Hill,No,Sandy,Coffee
Kollam,Kharif,Low,Hot,Hill,Yes,Sandy,Pepper
Kollam,Summer,Low,Hot,Lowland,Yes,Laterite,Banana
Kasaragod,Kharif,Medium,Cool,Upland,No,Sandy,Rubber
Idukki,Rabi,High,Cool,Upland,Yes,Laterite,Tapioca
Thiruvananthapuram,Rabi,Low,Hot,Upland,No,Loam,Tapioca
Kozhikode,Summer,Medium,Moderate,Upland,No,Clay,Banana
Kasaragod,Rabi,High,Cool,Hill,No,Laterite,Cardamom
Kannur,Rabi,Medium,Moderate,Hill,Yes,Laterite,Pepper
Malappuram,Summer,Medium,Hot,Upland,Yes,Sandy,Banana
Kasaragod,Rabi,Medium,Moderate,Upland,No,Laterite,Banana
Idukki,Kharif,High,Cool,Upland,Yes,Laterite,Ginger
Kasaragod,Summer,Low,Hot,Hill,Yes,Sandy,Pepper
Palakkad,Rabi,Low,Moderate,Coastal,Yes,Loam,Coconut
Thiruvananthapuram,Kharif,Low,Hot,Coastal,No,Loam,Coconut
Kottayam,Kharif,High,Cool,Lowland,Yes,Clay,Rice
Idukki,Kharif,High,Hot,Hill,Yes,Laterite,Pepper
Kannur,Summer,Low,Moderate,Hill,Yes,Clay,Pepper
Kollam,Rabi,Medium,Cool,Upland,Yes,Sandy,Banana
Kozhikode,Rabi,Low,Cool,Hill,No,Laterite,Pepper
Kollam,Kharif,Medium,Cool,Lowland,No,Clay,Banana
Kannur,Rabi,Low,Moderate,Lowland,Yes,Sandy,Banana
Palakkad,Rabi,Medium,Moderate,Upland,Yes,Loam,Rubber
Kozhikode,Rabi,Medium,Hot,Upland,Yes,Loam,Banana
Kasaragod,Summer,High,Hot,Lowland,No,Sandy,Banana
Kozhikode,Kharif,High,Moderate,Coastal,No,Laterite,Cashew
Kottayam,Summer,Low,Cool,Upland,No,Sandy,Tapioca
Kozhikode,Summer,High,Moderate,Lowland,No,Clay,Banana
Kasaragod,Rabi,Medium,Hot,Hill,No,Clay,Pepper
Wayanad,Summer,Low,Hot,Upland,Yes,Sandy,Tapioca
Wayanad,Summer,High,Moderate,Hill,Yes,Sandy,Pepper
Kottayam,Summer,Medium,Cool,Coastal,Yes,Loam,Coconut
Palakkad,Rabi,Medium,Cool,Coastal,Yes,Laterite,Cashew
Kottayam,Rabi,Medium,Hot,Hill,Yes,Loam,Pepper
Wayanad,Rabi,Low,Moderate,Upland,Yes,Loam,Tapioca
Kollam,Rabi,Medium,Hot,Lowland,No,Loam,Banana
Kasaragod,Summer,Medium,Moderate,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Low,Cool,Lowland,Yes,Sandy,Banana
Malappuram,Summer,Medium,Hot,Lowland,No,Loam,Banana
Idukki,Rabi,High,Cool,Coastal,No,Loam,Coconut
Wayanad,Summer,High,Hot,Coastal,Yes,Loam,Coconut
Kozhikode,Rabi,Low,Hot,Coastal,No,Clay,Coconut
Malappuram,Kharif,High,Moderate,Coastal,No,Sandy,Cashew
Kozhikode,Kharif,Low,Moderate,Upland,No,Clay,Tapioca
Kottayam,Kharif,Low,Cool,Lowland,No,Laterite,Banana
Thrissur,Summer,Medium,Hot,Lowland,Yes,Laterite,Banana
Kannur,Rabi,High,Hot,Coastal,Yes,Sandy,Cashew
Kottayam,Summer,Medium,Moderate,Hill,No,Sandy,Pepper
Palakkad,Rabi,Low,Moderate,Upland,No,Loam,Ginger
Thiruvananthapuram,Kharif,Low,Cool,Coastal,No,Clay,Coconut
Thrissur,Summer,High,Hot,Upland,No,Clay,Ginger
Kollam,Summer,Low,Cool,Upland,Yes,Laterite,Ginger
Pathanamthitta,Rabi,High,Hot,Lowland,No,Laterite,Banana
Kasaragod,Summer,Medium,Hot,Hill,Yes,Loam,Pepper
Alappuzha,Kharif,Low,Moderate,Upland,Yes,Sandy,Tapioca
Palakkad,Summer,Medium,Cool,Coastal,No,Laterite,Cashew
Wayanad,Rabi,High,Hot,Hill,Yes,Clay,Pepper
Thrissur,Summer,Medium,Cool,Hill,Yes,Loam,Pepper
Alappuzha,Summer,Low,Hot,Upland,Yes,Loam,Tapioca
Idukki,Rabi,Low,Cool,Upland,No,Sandy,Ginger
Idukki,Kharif,Low,Hot,Upland,No,Loam,Ginger
Ernakulam,Rabi,High,Cool,Hill,No,Loam,Cardamom
Malappuram,Summer,Low,Moderate,Coastal,No,Sandy,Arecanut
Malappuram,Summer,High,Hot,Upland,No,Loam,Ginger
Thiruvananthapuram,Rabi,Low,Moderate,Coastal,No,Laterite,Arecanut
Ernakulam,Rabi,High,Cool,Lowland,Yes,Loam,Rice
Ernakulam,Kharif,Medium,Moderate,Upland,No,Laterite,Rubber
Thrissur,Kharif,Low,Cool,Upland,Yes,Laterite,Tapioca
Ernakulam,Summer,Low,Moderate,Coastal,Yes,Sandy,Cashew
Wayanad,Summer,Low,Cool,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Medium,Hot,Coastal,No,Sandy,Arecanut
Ernakulam,Summer,High,Hot,Lowland,Yes,Laterite,Rice
Pathanamthitta,Rabi,High,Moderate,Upland,Yes,Clay,Tapioca
Kannur,Kharif,Medium,Hot,Coastal,Yes,Loam,Coconut
Idukki,Kharif,High,Hot,Upland,No,Loam,Tapioca
Wayanad,Kharif,Medium,Hot,Upland,No,Laterite,Rubber
Kozhikode,Kharif,Low,Cool,Lowland,Yes,Laterite,Banana
Ernakulam,Kharif,Low,Hot,Upland,Yes,Sandy,Tapioca
Alappuzha,Summer,Low,Hot,Hill,No,Loam,Pepper
Pathanamthitta,Rabi,High,Moderate,Upland,Yes,Sandy,Ginger
Alappuzha,Rabi,Low,Moderate,Hill,Yes,Loam,Pepper
Alappuzha,Summer,High,Cool,Coastal,No,Loam,Coconut
Wayanad,Summer,Low,Moderate,Coastal,No,Sandy,Arecanut
Malappuram,Rabi,Medium,Hot,Hill,Yes,Sandy,Pepper
Thiruvananthapuram,Summer,Medium,Hot,Hill,Yes,Loam,Pepper
Alappuzha,Summer,Medium,Hot,Hill,Yes,Clay,Pepper
Kasaragod,Summer,Medium,Moderate,Upland,Yes,Sandy,Banana
Palakkad,Summer,Low,Moderate,Lowland,Yes,Sandy,Banana
Thiruvananthapuram,Rabi,Low,Moderate,Upland,Yes,Loam,Tapioca
Kasaragod,Kharif,Medium,Hot,Lowland,Yes,Clay,Banana
Alappuzha,Summer,High,Cool,Coastal,No,Loam,Coconut
Kozhikode,Kharif,Medium,Hot,Upland,Yes,Loam,Banana
Pathanamthitta,Kharif,High,Cool,Coastal,Yes,Clay,Coconut
Pathanamthitta,Kharif,Medium,Hot,Upland,No,Clay,Banana
Kottayam,Rabi,High,Moderate,Hill,No,Sandy,Pepper
Wayanad,Rabi,Medium,Moderate,Upland,Yes,Clay,Banana
Thiruvananthapuram,Rabi,Medium,Moderate,Upland,Yes,Loam,Banana
Pathanamthitta,Summer,Low,Moderate,Hill,No,Laterite,Pepper
Idukki,Rabi,High,Moderate,Hill,No,Clay,Pepper
Thiruvananthapuram,Summer,High,Cool,Upland,Yes,Loam,Tapioca
Thiruvananthapuram,Rabi,Medium,Cool,Lowland,Yes,Loam,Banana
Idukki,Summer,High,Moderate,Coastal,No,Loam,Coconut
Kasaragod,Rabi,High,Hot,Lowland,No,Sandy,Banana
Kollam,Summer,Low,Moderate,Upland,No,Laterite,Tapioca
Palakkad,Summer,High,Hot,Coastal,Yes,Laterite,Arecanut
Pathanamthitta,Summer,High,Hot,Hill,Yes,Loam,Pepper
Thiruvananthapuram,Rabi,Low,Cool,Upland,No,Sandy,Tapioca
Kannur,Kharif,Low,Cool,Upland,No,Laterite,Tapioca
Malappuram,Summer,High,Hot,Lowland,No,Laterite,Banana
Thrissur,Summer,High,Moderate,Hill,No,Sandy,Pepper
Pathanamthitta,Summer,High,Cool,Coastal,Yes,Laterite,Arecanut
Palakkad,Summer,Low,Moderate,Lowland,No,Laterite,Banana
Kasaragod,Summer,Medium,Moderate,Coastal,No,Sandy,Arecanut
Thiruvananthapuram,Rabi,Low,Cool,Upland,No,Loam,Ginger
Thrissur,Rabi,Low,Hot,Lowland,Yes,Loam,Banana
Pathanamthitta,Rabi,Low,Moderate,Coastal,No,Clay,Coconut
Ernakulam,Summer,High,Cool,Coastal,Yes,Laterite,Arecanut
Kottayam,Kharif,Low,Hot,Lowland,Yes,Sandy,Banana
Kannur,Rabi,Medium,Moderate,Hill,No,Clay,Pepper
Ernakulam,Summer,High,Hot,Hill,Yes,Sandy,Pepper
Kannur,Kharif,High,Hot,Hill,Yes,Clay,Pepper
